year,symbol,close
2019,MSFT,157.6999969482422
2020,MSFT,222.4199981689453
2021,MSFT,336.32000732421875
2022,MSFT,239.82000732421875
2023,MSFT,376.0400085449219
2019,AAPL,73.4124984741211
2020,AAPL,132.69000244140625
2021,AAPL,177.57000732421875
2022,AAPL,129.92999267578125
2023,AAPL,192.52999877929688
2019,NVDA,58.82500076293945
2020,NVDA,130.5500030517578
2021,NVDA,294.1099853515625
2022,NVDA,146.13999938964844
2023,NVDA,495.2200012207031
2019,AMZN,92.39199829101562
2020,AMZN,162.84649658203125
2021,AMZN,166.7169952392578
2022,AMZN,84.0
2023,AMZN,151.94000244140625
2019,GOOGL,66.96949768066406
2020,GOOGL,87.63200378417969
2021,GOOGL,144.8520050048828
2022,GOOGL,88.2300033569336
2023,GOOGL,139.69000244140625
2019,META,205.25
2020,META,273.1600036621094
2021,META,336.3500061035156
2022,META,120.33999633789062
2023,META,353.9599914550781
2019,LLY,131.42999267578125
2020,LLY,168.83999633789062
2021,LLY,276.2200012207031
2022,LLY,365.8399963378906
2023,LLY,582.9199829101562
2019,TSM,58.099998474121094
2020,TSM,109.04000091552734
2021,TSM,120.30999755859375
2022,TSM,74.48999786376953
2023,TSM,104.0
2019,AVGO,316.0199890136719
2020,AVGO,437.8500061035156
2021,AVGO,665.4099731445312
2022,AVGO,559.1300048828125
2023,AVGO,1116.25
2019,TSLA,27.8886661529541
2020,TSLA,235.22332763671875
2021,TSLA,352.260009765625
2022,TSLA,123.18000030517578
2023,TSLA,248.47999572753906
2019,V,187.89999389648438
2020,V,218.72999572753906
2021,V,216.7100067138672
2022,V,207.75999450683594
2023,V,260.3500061035156
2019,NVO,28.940000534057617
2020,NVO,34.92499923706055
2021,NVO,56.0
2022,NVO,67.66999816894531
2023,NVO,103.44999694824219
2019,JPM,139.39999389648438
2020,JPM,127.06999969482422
2021,JPM,158.35000610351562
2022,JPM,134.10000610351562
2023,JPM,170.10000610351562
2019,WMT,39.61333465576172
2020,WMT,48.04999923706055
2021,WMT,48.22999954223633
2022,WMT,47.26333236694336
2023,WMT,52.54999923706055
2019,UNH,293.9800109863281
2020,UNH,350.67999267578125
2021,UNH,502.1400146484375
2022,UNH,530.1799926757812
2023,UNH,526.469970703125
2019,MA,298.5899963378906
2020,MA,356.94000244140625
2021,MA,359.32000732421875
2022,MA,347.7300109863281
2023,MA,426.510009765625
2019,XOM,69.77999877929688
2020,XOM,41.220001220703125
2021,XOM,61.189998626708984
2022,XOM,110.30000305175781
2023,XOM,99.9800033569336
2019,ASML,295.94000244140625
2020,ASML,487.7200012207031
2021,ASML,796.1400146484375
2022,ASML,546.4000244140625
2023,ASML,756.9199829101562
2019,JNJ,145.8699951171875
2020,JNJ,157.3800048828125
2021,JNJ,171.07000732421875
2022,JNJ,176.64999389648438
2023,JNJ,156.74000549316406
2019,HD,218.3800048828125
2020,HD,265.6199951171875
2021,HD,415.010009765625
2022,HD,315.8599853515625
2023,HD,346.54998779296875
2019,PG,124.9000015258789
2020,PG,139.13999938964844
2021,PG,163.5800018310547
2022,PG,151.55999755859375
2023,PG,146.5399932861328
2019,COST,293.9200134277344
2020,COST,376.7799987792969
2021,COST,567.7000122070312
2022,COST,456.5
2023,COST,660.0800170898438
2019,TM,140.5399932861328
2020,TM,154.57000732421875
2021,TM,185.3000030517578
2022,TM,136.5800018310547
2023,TM,183.3800048828125
2019,AMD,45.86000061035156
2020,AMD,91.70999908447266
2021,AMD,143.89999389648438
2022,AMD,64.7699966430664
2023,AMD,147.41000366210938
2019,MRK,86.78434753417969
2020,MRK,78.05343627929688
2021,MRK,76.63999938964844
2022,MRK,110.94999694824219
2023,MRK,109.0199966430664
2019,ABBV,88.54000091552734
2020,ABBV,107.1500015258789
2021,ABBV,135.39999389648438
2022,ABBV,161.61000061035156
2023,ABBV,154.97000122070312
2019,ORCL,52.97999954223633
2020,ORCL,64.69000244140625
2021,ORCL,87.20999908447266
2022,ORCL,81.73999786376953
2023,ORCL,105.43000030517578
2019,CRM,162.63999938964844
2020,CRM,222.52999877929688
2021,CRM,254.1300048828125
2022,CRM,132.58999633789062
2023,CRM,263.1400146484375
2019,CVX,120.51000213623047
2020,CVX,84.44999694824219
2021,CVX,117.3499984741211
2022,CVX,179.49000549316406
2023,CVX,149.16000366210938
2019,BAC,35.220001220703125
2020,BAC,30.309999465942383
2021,BAC,44.4900016784668
2022,BAC,33.119998931884766
2023,BAC,33.66999816894531
