fiscal_date,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,symbol
31/01/2022,26914000000.0,9439000000.0,17475000000.0,10041000000.0,107000000.0,9752000000.0,3.91,3.85,2496000000.0,2496000000.0,11351000000.0,9752000000.0,,,5268000000.0,2166000000.0,,29000000.0,236000000.0,NVDA
31/01/2021,16675000000.0,6279000000.0,10396000000.0,4532000000.0,4000000.0,4332000000.0,1.755,1.725,2468000000.0,2468000000.0,5691000000.0,4332000000.0,,,3924000000.0,1940000000.0,,57000000.0,184000000.0,NVDA
31/12/2023,574785000000.0,480980000000.0,93805000000.0,36852000000.0,938000000.0,30425000000.0,2.95,2.9,10304000000.0,10304000000.0,88287000000.0,30425000000.0,,,,56186000000.0,767000000.0,2949000000.0,3182000000.0,AMZN
31/12/2022,513983000000.0,446343000000.0,67640000000.0,12248000000.0,-16806000000.0,-2722000000.0,-0.27,-0.27,10189000000.0,10189000000.0,54618000000.0,-2722000000.0,,,,54129000000.0,1263000000.0,989000000.0,2367000000.0,AMZN
31/12/2021,469822000000.0,403507000000.0,66315000000.0,24879000000.0,14633000000.0,33364000000.0,3.298,3.2405,10120000000.0,10120000000.0,59741000000.0,33364000000.0,,,,41374000000.0,62000000.0,448000000.0,1809000000.0,AMZN
31/12/2020,386064000000.0,334564000000.0,51500000000.0,22899000000.0,2371000000.0,21331000000.0,2.132,2.0915,10000000000.0,10000000000.0,48647000000.0,21331000000.0,,,42740000000.0,28676000000.0,-75000000.0,555000000.0,1647000000.0,AMZN
31/12/2023,307394000000.0,133332000000.0,174062000000.0,84293000000.0,-2133000000.0,73795000000.0,5.84,5.8,12630000000.0,12630000000.0,100032000000.0,73795000000.0,,,45427000000.0,44342000000.0,,3865000000.0,308000000.0,GOOGL
31/12/2022,282836000000.0,126203000000.0,156633000000.0,74842000000.0,-5331000000.0,59972000000.0,4.59,4.56,13063000000.0,13063000000.0,91333000000.0,59972000000.0,,,39500000000.0,42291000000.0,,2174000000.0,357000000.0,GOOGL
31/12/2021,257637000000.0,110939000000.0,146698000000.0,78714000000.0,10867000000.0,76033000000.0,5.694003,5.610003,13352993991.0,13352993991.0,91491000000.0,76033000000.0,,,31562000000.0,36422000000.0,,1499000000.0,346000000.0,GOOGL
31/12/2020,182527000000.0,84732000000.0,97795000000.0,41224000000.0,5128000000.0,40269000000.0,2.957501,2.930501,13616313872.0,13616313872.0,55941000000.0,40269000000.0,,,27573000000.0,28998000000.0,,1865000000.0,135000000.0,GOOGL
31/12/2023,134902000000.0,25959000000.0,108943000000.0,46751000000.0,-366000000.0,39098000000.0,15.19,14.87,2574000000.0,2574000000.0,59418000000.0,39098000000.0,,,38483000000.0,23709000000.0,,1639000000.0,446000000.0,META
31/12/2022,116609000000.0,25249000000.0,91360000000.0,28944000000.0,-81000000.0,23200000000.0,8.63,8.59,2687000000.0,2687000000.0,37771000000.0,23200000000.0,,,35338000000.0,27078000000.0,,461000000.0,185000000.0,META
31/12/2021,117929000000.0,22649000000.0,95280000000.0,46753000000.0,-140000000.0,39370000000.0,13.99,13.77,2815000000.0,2815000000.0,55414000000.0,39370000000.0,,,24655000000.0,23872000000.0,,484000000.0,23000000.0,META
31/12/2020,85965000000.0,16692000000.0,69273000000.0,32671000000.0,-129000000.0,29146000000.0,10.22,10.09,2851000000.0,2851000000.0,39662000000.0,29146000000.0,,0.0,18447000000.0,18155000000.0,,672000000.0,,META
31/12/2023,439337000000.0,,,,260587000000.0,97147000000.0,,,,,,97147000000.0,-924000000.0,,,28642000000.0,211013000000.0,,5003000000.0,BRK.B
31/12/2022,234121000000.0,,,,211857000000.0,-21998000000.0,-10.329338,-10.329338,2203312898.0,2203312898.0,,-21998000000.0,-761000000.0,,,25056000000.0,162481000000.0,,4352000000.0,BRK.B
31/12/2021,354727000000.0,,,,193099000000.0,90949000000.0,39.702687,39.702687,2265268867.0,2265268867.0,,90949000000.0,-1012000000.0,,,23044000000.0,148189000000.0,,4172000000.0,BRK.B
31/12/2020,286325000000.0,,,,168543000000.0,43253000000.0,17.778676,17.778676,2391702304.0,2391702304.0,,43253000000.0,-732000000.0,,,23329000000.0,130645000000.0,,4083000000.0,BRK.B
31/12/2023,34124100000.0,7082200000.0,27041900000.0,10787300000.0,-3920400000.0,5240400000.0,5.82,5.8,900181000.0,900181000.0,12455500000.0,5240400000.0,,,9313400000.0,6941200000.0,,173600000.0,485900000.0,LLY
31/12/2022,28541400000.0,6629800000.0,21911600000.0,8653300000.0,-1578100000.0,6244800000.0,6.93,6.9,901736000.0,901736000.0,10224300000.0,6244800000.0,,,7190800000.0,6067500000.0,,62800000.0,331600000.0,LLY
31/12/2021,28318400000.0,7312800000.0,21005600000.0,7933000000.0,-1463100000.0,5581700000.0,5.852967,5.852967,953653000.0,953653000.0,9557400000.0,5581700000.0,,,6930700000.0,6141900000.0,,25400000.0,339800000.0,LLY
